Flight_ID,Airline_Name,Origin_City,Origin_Country,Destination_City,Destination_Country,Distance_KM,Scheduled_Departure,Scheduled_Arrival,Flight_Status,Base_Fare_NGN
FL00075,Air Peace,Lagos,Nigeria,Abuja,Nigeria,533,2023-02-24 12:45:00,2023-02-24 14:10:00,Cancelled,69925
FL00076,Kenya Airways,Nairobi,Kenya,Dakar,Senegal,5600,2023-02-24 15:45:00,2023-02-24 23:42:00,On-Time,544463
FL00077,Kenya Airways,Dar es Salaam,Tanzania,Dakar,Senegal,6200,2023-02-25 21:00:00,2023-02-26 05:23:00,On-Time,600231
FL00078,Air Peace,Nairobi,Kenya,Lagos,Nigeria,4182,2023-02-26 12:30:00,2023-02-26 18:04:00,On-Time,396296
FL00079,Ethiopian Airlines,Addis Ababa,Ethiopia,Cairo,Egypt,2185,2023-02-26 07:30:00,2023-02-26 11:00:00,On-Time,216031
FL00080,Kenya Airways,Johannesburg,South Africa,Cairo,Egypt,6261,2023-02-27 07:45:00,2023-02-27 15:57:00,On-Time,603804
FL00081,Kenya Airways,Lusaka,Zambia,Johannesburg,South Africa,1160,2023-02-28 05:30:00,2023-02-28 07:34:00,Cancelled,117411
FL00082,Dana Air,Kano,Nigeria,Dar es Salaam,Tanzania,3800,2023-03-01 09:15:00,2023-03-01 14:32:00,On-Time,336964
FL00083,EgyptAir,Lagos,Nigeria,Accra,Ghana,397,2023-03-01 14:15:00,2023-03-01 15:13:00,On-Time,54803
FL00084,Ethiopian Airlines,Addis Ababa,Ethiopia,Accra,Ghana,4200,2023-03-02 11:30:00,2023-03-02 17:35:00,On-Time,423393
FL00085,Arik Air,Kano,Nigeria,Lagos,Nigeria,1054,2023-03-03 13:30:00,2023-03-03 15:17:00,On-Time,107584
FL00086,Air Peace,Lagos,Nigeria,Dakar,Senegal,2832,2023-03-04 11:45:00,2023-03-04 15:55:00,Delayed,273969
FL00087,Kenya Airways,Dar es Salaam,Tanzania,Casablanca,Morocco,6400,2023-03-04 13:15:00,2023-03-04 21:52:00,On-Time,600980
FL00088,Kenya Airways,Lusaka,Zambia,Casablanca,Morocco,6000,2023-03-05 12:15:00,2023-03-05 20:09:00,On-Time,575232
FL00089,Air Peace,Kano,Nigeria,Douala,Cameroon,950,2023-03-06 16:00:00,2023-03-06 17:47:00,On-Time,102775
FL00090,EgyptAir,Nairobi,Kenya,Enugu,Nigeria,3800,2023-03-07 06:45:00,2023-03-07 12:16:00,On-Time,373144
FL00091,Kenya Airways,Johannesburg,South Africa,Dakar,Senegal,6500,2023-03-07 05:00:00,2023-03-07 13:59:00,Delayed,620236
FL00092,Ethiopian Airlines,Douala,Cameroon,Abuja,Nigeria,870,2023-03-08 20:15:00,2023-03-08 22:04:00,On-Time,103647
FL00093,EgyptAir,Accra,Ghana,Douala,Cameroon,1200,2023-03-09 09:45:00,2023-03-09 12:05:00,Delayed,126173
FL00094,Ethiopian Airlines,Nairobi,Kenya,Abuja,Nigeria,3714,2023-03-09 07:30:00,2023-03-09 12:32:00,Delayed,373751
FL00095,Dana Air,Port Harcourt,Nigeria,Lusaka,Zambia,3900,2023-03-10 16:45:00,2023-03-10 22:12:00,Delayed,337876
FL00096,Dana Air,Kano,Nigeria,Cairo,Egypt,2887,2023-03-11 12:30:00,2023-03-11 16:53:00,Delayed,259891
FL00097,Kenya Airways,Cairo,Egypt,Accra,Ghana,4383,2023-03-12 07:30:00,2023-03-12 13:36:00,On-Time,429517
FL00098,Air Peace,Port Harcourt,Nigeria,Accra,Ghana,730,2023-03-12 05:45:00,2023-03-12 07:05:00,Delayed,82454
FL00099,Air Peace,Abuja,Nigeria,Nairobi,Kenya,3714,2023-03-13 07:30:00,2023-03-13 12:57:00,On-Time,350589
FL00100,Air Peace,Enugu,Nigeria,Johannesburg,South Africa,4100,2023-03-14 09:00:00,2023-03-14 14:48:00,On-Time,393033
FL00101,Arik Air,Douala,Cameroon,Casablanca,Morocco,3800,2023-03-15 19:15:00,2023-03-16 00:49:00,On-Time,359273
FL00102,Kenya Airways,Nairobi,Kenya,Port Harcourt,Nigeria,3906,2023-03-15 18:30:00,2023-03-15 23:54:00,On-Time,373368
FL00103,EgyptAir,Accra,Ghana,Kano,Nigeria,1382,2023-03-16 07:00:00,2023-03-16 09:43:00,On-Time,141740
FL00104,Ethiopian Airlines,Johannesburg,South Africa,Dakar,Senegal,6500,2023-03-17 05:30:00,2023-03-17 14:32:00,On-Time,624328
FL00105,EgyptAir,Johannesburg,South Africa,Nairobi,Kenya,2723,2023-03-17 09:15:00,2023-03-17 13:26:00,On-Time,261407
FL00106,Ethiopian Airlines,Douala,Cameroon,Dar es Salaam,Tanzania,3500,2023-03-18 18:00:00,2023-03-18 22:44:00,On-Time,340063
FL00107,Kenya Airways,Accra,Ghana,Kano,Nigeria,1382,2023-03-19 11:15:00,2023-03-19 13:19:00,On-Time,140169
FL00108,Ethiopian Airlines,Accra,Ghana,Douala,Cameroon,1200,2023-03-20 13:15:00,2023-03-20 15:23:00,On-Time,133226
FL00109,Ethiopian Airlines,Cairo,Egypt,Lagos,Nigeria,4020,2023-03-20 19:00:00,2023-03-21 00:46:00,On-Time,403947
FL00110,Kenya Airways,Dar es Salaam,Tanzania,Douala,Cameroon,3500,2023-03-21 19:00:00,2023-03-22 00:21:00,On-Time,347751
FL00111,Dana Air,Enugu,Nigeria,Port Harcourt,Nigeria,155,2023-03-22 14:00:00,2023-03-22 14:34:00,Delayed,28895
FL00112,Arik Air,Dakar,Senegal,Port Harcourt,Nigeria,3000,2023-03-23 17:45:00,2023-03-23 21:50:00,Delayed,278518
FL00113,Dana Air,Lagos,Nigeria,Dar es Salaam,Tanzania,4450,2023-03-23 11:00:00,2023-03-23 17:04:00,On-Time,395735
FL00114,Ethiopian Airlines,Johannesburg,South Africa,Casablanca,Morocco,7200,2023-03-24 21:00:00,2023-03-25 06:46:00,Cancelled,707555
FL00115,Dana Air,Lagos,Nigeria,Dakar,Senegal,2832,2023-03-25 08:00:00,2023-03-25 12:15:00,On-Time,254049
FL00116,Arik Air,Kano,Nigeria,Lusaka,Zambia,3700,2023-03-26 09:00:00,2023-03-26 14:24:00,On-Time,333357
FL00117,Air Peace,Kano,Nigeria,Lusaka,Zambia,3700,2023-03-26 11:30:00,2023-03-26 16:58:00,On-Time,343017
FL00118,Dana Air,Enugu,Nigeria,Lusaka,Zambia,4000,2023-03-27 17:45:00,2023-03-27 23:22:00,On-Time,360433
FL00119,Kenya Airways,Dar es Salaam,Tanzania,Nairobi,Kenya,524,2023-03-28 19:15:00,2023-03-28 20:38:00,On-Time,58837
FL00120,Dana Air,Lagos,Nigeria,Accra,Ghana,397,2023-03-28 15:00:00,2023-03-28 16:18:00,Delayed,52238
FL00121,EgyptAir,Nairobi,Kenya,Dar es Salaam,Tanzania,524,2023-03-29 08:30:00,2023-03-29 09:32:00,Delayed,67183
FL00122,Air Peace,Port Harcourt,Nigeria,Nairobi,Kenya,3906,2023-03-30 17:30:00,2023-03-30 22:43:00,On-Time,366097
FL00123,Ethiopian Airlines,Lagos,Nigeria,Port Harcourt,Nigeria,443,2023-03-31 11:30:00,2023-03-31 12:32:00,Delayed,64374
FL00124,EgyptAir,Dakar,Senegal,Johannesburg,South Africa,6500,2023-03-31 06:15:00,2023-03-31 15:15:00,On-Time,612032
FL00125,Kenya Airways,Dar es Salaam,Tanzania,Cairo,Egypt,3600,2023-04-01 14:00:00,2023-04-01 18:49:00,On-Time,357058
FL00126,Air Peace,Enugu,Nigeria,Port Harcourt,Nigeria,155,2023-04-02 17:45:00,2023-04-02 18:27:00,Delayed,33239
FL00127,Dana Air,Port Harcourt,Nigeria,Accra,Ghana,730,2023-04-03 10:45:00,2023-04-03 12:21:00,Cancelled,84883
FL00128,Arik Air,Port Harcourt,Nigeria,Accra,Ghana,730,2023-04-03 16:30:00,2023-04-03 17:53:00,Delayed,87985
FL00129,Kenya Airways,Addis Ababa,Ethiopia,Enugu,Nigeria,3450,2023-04-04 16:15:00,2023-04-04 21:19:00,On-Time,344172
FL00130,Dana Air,Lagos,Nigeria,Nairobi,Kenya,4182,2023-04-05 15:15:00,2023-04-05 21:12:00,On-Time,366774
FL00131,Arik Air,Accra,Ghana,Port Harcourt,Nigeria,730,2023-04-05 11:15:00,2023-04-05 12:45:00,On-Time,69837
FL00132,Air Peace,Lagos,Nigeria,Accra,Ghana,397,2023-04-06 05:45:00,2023-04-06 06:37:00,Delayed,59204
FL00133,Air Peace,Nairobi,Kenya,Addis Ababa,Ethiopia,1165,2023-04-07 05:30:00,2023-04-07 07:38:00,On-Time,127751
FL00134,EgyptAir,Casablanca,Morocco,Lagos,Nigeria,4010,2023-04-08 17:00:00,2023-04-08 22:36:00,On-Time,388277
FL00135,Air Peace,Abuja,Nigeria,Dakar,Senegal,2600,2023-04-08 13:45:00,2023-04-08 17:37:00,On-Time,251924
FL00136,EgyptAir,Nairobi,Kenya,Accra,Ghana,4808,2023-04-09 07:30:00,2023-04-09 14:21:00,On-Time,452002
FL00137,Arik Air,Kano,Nigeria,Port Harcourt,Nigeria,793,2023-04-10 11:30:00,2023-04-10 13:20:00,On-Time,93492
FL00138,Ethiopian Airlines,Johannesburg,South Africa,Douala,Cameroon,3900,2023-04-11 10:00:00,2023-04-11 15:42:00,On-Time,386483
FL00139,Kenya Airways,Cairo,Egypt,Nairobi,Kenya,3637,2023-04-11 12:00:00,2023-04-11 16:57:00,On-Time,350064
FL00140,Arik Air,Port Harcourt,Nigeria,Dakar,Senegal,3000,2023-04-12 13:00:00,2023-04-12 17:26:00,On-Time,282565
FL00141,Dana Air,Port Harcourt,Nigeria,Lagos,Nigeria,443,2023-04-13 09:15:00,2023-04-13 10:22:00,Delayed,58450
FL00142,Air Peace,Kano,Nigeria,Abuja,Nigeria,316,2023-04-14 05:00:00,2023-04-14 05:45:00,On-Time,35991
FL00143,Ethiopian Airlines,Accra,Ghana,Cairo,Egypt,4383,2023-04-14 14:30:00,2023-04-14 20:31:00,Delayed,428624
FL00144,Air Peace,Nairobi,Kenya,Douala,Cameroon,3200,2023-04-15 16:00:00,2023-04-15 20:40:00,On-Time,312909
FL00145,Ethiopian Airlines,Nairobi,Kenya,Cairo,Egypt,3637,2023-04-16 19:30:00,2023-04-17 00:46:00,On-Time,350797
FL00146,Arik Air,Kano,Nigeria,Accra,Ghana,1382,2023-04-16 13:45:00,2023-04-16 16:07:00,On-Time,127228
FL00147,Ethiopian Airlines,Dar es Salaam,Tanzania,Port Harcourt,Nigeria,4100,2023-04-17 21:15:00,2023-04-18 03:14:00,Cancelled,400406
FL00148,Air Peace,Port Harcourt,Nigeria,Casablanca,Morocco,4100,2023-04-18 21:45:00,2023-04-19 03:31:00,Cancelled,384102
FL00149,Kenya Airways,Lagos,Nigeria,Douala,Cameroon,1060,2023-04-19 16:45:00,2023-04-19 18:49:00,On-Time,104705
FL00150,Arik Air,Dakar,Senegal,Casablanca,Morocco,2000,2023-04-19 11:30:00,2023-04-19 14:24:00,On-Time,190752
FL00151,Dana Air,Lagos,Nigeria,Enugu,Nigeria,478,2023-04-20 06:45:00,2023-04-20 08:09:00,Delayed,45856
FL00152,Kenya Airways,Dar es Salaam,Tanzania,Lusaka,Zambia,1500,2023-04-21 07:30:00,2023-04-21 09:52:00,Cancelled,145145
FL00153,Dana Air,Port Harcourt,Nigeria,Dar es Salaam,Tanzania,4100,2023-04-22 21:00:00,2023-04-23 03:06:00,Cancelled,367175
FL00154,Ethiopian Airlines,Douala,Cameroon,Enugu,Nigeria,600,2023-04-22 09:00:00,2023-04-22 10:13:00,Delayed,62587
FL00155,Ethiopian Airlines,Dar es Salaam,Tanzania,Casablanca,Morocco,6400,2023-04-23 21:30:00,2023-04-24 06:22:00,On-Time,631099
FL00156,Arik Air,Lagos,Nigeria,Port Harcourt,Nigeria,443,2023-04-24 21:00:00,2023-04-24 22:10:00,Delayed,51080
FL00157,EgyptAir,Cairo,Egypt,Enugu,Nigeria,3700,2023-04-24 21:15:00,2023-04-25 02:44:00,Delayed,354522
FL00158,Air Peace,Port Harcourt,Nigeria,Lusaka,Zambia,3900,2023-04-25 06:45:00,2023-04-25 12:23:00,On-Time,365127
FL00159,Ethiopian Airlines,Lagos,Nigeria,Addis Ababa,Ethiopia,3856,2023-04-26 06:15:00,2023-04-26 11:58:00,On-Time,375150
FL00160,Dana Air,Port Harcourt,Nigeria,Dakar,Senegal,3000,2023-04-27 09:45:00,2023-04-27 14:09:00,On-Time,264628
FL00161,Dana Air,Lagos,Nigeria,Nairobi,Kenya,4182,2023-04-27 05:00:00,2023-04-27 10:48:00,Delayed,377313
FL00162,Air Peace,Nairobi,Kenya,Johannesburg,South Africa,2723,2023-04-28 05:15:00,2023-04-28 09:30:00,Delayed,260519
FL00163,Dana Air,Lagos,Nigeria,Addis Ababa,Ethiopia,3856,2023-04-29 06:00:00,2023-04-29 11:35:00,On-Time,350521
FL00164,EgyptAir,Lagos,Nigeria,Douala,Cameroon,1060,2023-04-30 16:45:00,2023-04-30 18:58:00,On-Time,116490
FL00165,EgyptAir,Dakar,Senegal,Douala,Cameroon,3100,2023-04-30 10:30:00,2023-04-30 15:00:00,On-Time,307007
FL00166,EgyptAir,Casablanca,Morocco,Nairobi,Kenya,5900,2023-05-01 08:30:00,2023-05-01 16:22:00,Delayed,563082
FL00167,Dana Air,Abuja,Nigeria,Port Harcourt,Nigeria,476,2023-05-02 15:15:00,2023-05-02 16:42:00,On-Time,61146
FL00168,EgyptAir,Dakar,Senegal,Accra,Ghana,2100,2023-05-03 21:00:00,2023-05-04 00:08:00,Delayed,216115
FL00169,Dana Air,Port Harcourt,Nigeria,Douala,Cameroon,480,2023-05-03 10:00:00,2023-05-03 11:03:00,On-Time,64907
FL00170,Air Peace,Accra,Ghana,Johannesburg,South Africa,4922,2023-05-04 09:15:00,2023-05-04 15:42:00,On-Time,462404
FL00171,EgyptAir,Addis Ababa,Ethiopia,Enugu,Nigeria,3450,2023-05-05 06:30:00,2023-05-05 11:19:00,On-Time,322440
FL00172,Ethiopian Airlines,Johannesburg,South Africa,Dar es Salaam,Tanzania,2400,2023-05-05 10:45:00,2023-05-05 14:38:00,Delayed,252582
FL00173,Kenya Airways,Accra,Ghana,Lagos,Nigeria,397,2023-05-06 15:15:00,2023-05-06 16:14:00,On-Time,42699
FL00174,EgyptAir,Casablanca,Morocco,Enugu,Nigeria,3900,2023-05-07 20:45:00,2023-05-08 02:17:00,On-Time,375932
FL00175,Dana Air,Port Harcourt,Nigeria,Lagos,Nigeria,443,2023-05-08 20:30:00,2023-05-08 21:52:00,On-Time,56290
FL00176,Dana Air,Lagos,Nigeria,Kano,Nigeria,1054,2023-05-08 05:00:00,2023-05-08 07:13:00,On-Time,94932
FL00177,Ethiopian Airlines,Lusaka,Zambia,Casablanca,Morocco,6000,2023-05-09 13:30:00,2023-05-09 21:37:00,On-Time,587946
FL00178,Arik Air,Port Harcourt,Nigeria,Lusaka,Zambia,3900,2023-05-10 10:15:00,2023-05-10 15:32:00,Cancelled,357965
FL00179,Ethiopian Airlines,Douala,Cameroon,Dar es Salaam,Tanzania,3500,2023-05-11 20:00:00,2023-05-12 01:07:00,Delayed,348087
FL00180,Ethiopian Airlines,Johannesburg,South Africa,Nairobi,Kenya,2723,2023-05-11 07:15:00,2023-05-11 11:30:00,Cancelled,277488
FL00181,Arik Air,Abuja,Nigeria,Casablanca,Morocco,3680,2023-05-12 08:15:00,2023-05-12 13:40:00,On-Time,338142
FL00182,EgyptAir,Lagos,Nigeria,Addis Ababa,Ethiopia,3856,2023-05-13 07:30:00,2023-05-13 12:47:00,On-Time,368673
FL00183,Dana Air,Kano,Nigeria,Dar es Salaam,Tanzania,3800,2023-05-13 11:15:00,2023-05-13 16:37:00,On-Time,337836
FL00184,Air Peace,Kano,Nigeria,Accra,Ghana,1382,2023-05-14 13:30:00,2023-05-14 15:51:00,On-Time,135188
FL00185,Kenya Airways,Lagos,Nigeria,Addis Ababa,Ethiopia,3856,2023-05-15 05:00:00,2023-05-15 10:43:00,On-Time,381151
FL00186,Dana Air,Port Harcourt,Nigeria,Dar es Salaam,Tanzania,4100,2023-05-16 12:30:00,2023-05-16 18:07:00,On-Time,357328
FL00187,Air Peace,Accra,Ghana,Dakar,Senegal,2100,2023-05-16 11:00:00,2023-05-16 14:07:00,Cancelled,212184
FL00188,Kenya Airways,Nairobi,Kenya,Johannesburg,South Africa,2723,2023-05-17 22:30:00,2023-05-18 02:46:00,On-Time,270073
FL00189,Air Peace,Nairobi,Kenya,Lusaka,Zambia,1860,2023-05-18 12:45:00,2023-05-18 15:50:00,On-Time,190140
FL00190,EgyptAir,Johannesburg,South Africa,Lagos,Nigeria,4590,2023-05-19 05:45:00,2023-05-19 12:03:00,Delayed,440151
FL00191,Kenya Airways,Lagos,Nigeria,Lusaka,Zambia,4260,2023-05-19 15:15:00,2023-05-19 21:18:00,On-Time,402167
